Intervals	Average	Std
1.0	0.95	0.00
2.0	0.89	0.01
3.0	0.85	0.01
4.0	0.81	0.02
5.0	0.78	0.02
6.0	0.75	0.02
7.0	0.73	0.02
8.0	0.70	0.02
9.0	0.68	0.02
10.0	0.66	0.02
11.0	0.64	0.03
12.0	0.62	0.03
13.0	0.60	0.03
14.0	0.58	0.03
15.0	0.56	0.03
16.0	0.55	0.03
17.0	0.53	0.03
18.0	0.51	0.03
19.0	0.50	0.03
20.0	0.48	0.03
21.0	0.47	0.03
22.0	0.46	0.03
23.0	0.44	0.02
24.0	0.43	0.02
25.0	0.42	0.02
26.0	0.41	0.02
27.0	0.39	0.02
28.0	0.38	0.02
29.0	0.37	0.02
30.0	0.36	0.02
31.0	0.35	0.02
32.0	0.34	0.02
33.0	0.33	0.02
34.0	0.32	0.02
35.0	0.31	0.02
36.0	0.31	0.02
37.0	0.30	0.02
38.0	0.29	0.02
39.0	0.28	0.02
40.0	0.27	0.02
41.0	0.27	0.02
42.0	0.26	0.02
43.0	0.25	0.02
44.0	0.25	0.02
45.0	0.24	0.02
46.0	0.23	0.02
47.0	0.23	0.02
48.0	0.22	0.02
49.0	0.22	0.02
50.0	0.21	0.02
51.0	0.21	0.02
52.0	0.20	0.02
53.0	0.20	0.02
54.0	0.20	0.02
55.0	0.19	0.02
56.0	0.19	0.02
57.0	0.19	0.02
58.0	0.18	0.02
59.0	0.18	0.02
60.0	0.18	0.02
61.0	0.18	0.02
62.0	0.17	0.02
63.0	0.17	0.02
64.0	0.17	0.02
65.0	0.17	0.02
66.0	0.17	0.02
67.0	0.17	0.02
68.0	0.16	0.02
69.0	0.16	0.02
70.0	0.16	0.02
71.0	0.16	0.02
72.0	0.16	0.02
73.0	0.16	0.02
74.0	0.16	0.02
75.0	0.16	0.02
76.0	0.16	0.02
77.0	0.16	0.02
78.0	0.16	0.02
79.0	0.17	0.02
80.0	0.17	0.02
81.0	0.17	0.02
82.0	0.17	0.02
83.0	0.17	0.02
84.0	0.17	0.02
85.0	0.17	0.02
86.0	0.18	0.02
87.0	0.18	0.02
88.0	0.18	0.02
89.0	0.18	0.02
90.0	0.18	0.02
91.0	0.18	0.02
92.0	0.18	0.02
93.0	0.19	0.01
94.0	0.19	0.01
95.0	0.19	0.01
96.0	0.19	0.01
97.0	0.19	0.01
98.0	0.19	0.01
99.0	0.19	0.01
100.0	0.19	0.01
101.0	0.19	0.01
102.0	0.19	0.01
103.0	0.20	0.01
104.0	0.20	0.01
105.0	0.20	0.01
106.0	0.20	0.01
107.0	0.20	0.01
108.0	0.20	0.01
109.0	0.20	0.01
110.0	0.20	0.01
111.0	0.20	0.01
112.0	0.20	0.01
113.0	0.20	0.01
114.0	0.20	0.01
115.0	0.20	0.01
116.0	0.20	0.01
117.0	0.20	0.01
118.0	0.20	0.01
119.0	0.20	0.01
120.0	0.21	0.01
121.0	0.21	0.01
122.0	0.21	0.01
123.0	0.21	0.01
124.0	0.21	0.01
125.0	0.21	0.01
126.0	0.21	0.01
127.0	0.21	0.01
128.0	0.21	0.01
129.0	0.21	0.01
130.0	0.21	0.01
131.0	0.21	0.01
132.0	0.21	0.01
133.0	0.21	0.01
134.0	0.21	0.01
135.0	0.21	0.01
136.0	0.21	0.01
137.0	0.21	0.01
138.0	0.21	0.01
139.0	0.21	0.01
140.0	0.21	0.01
141.0	0.21	0.01
142.0	0.21	0.01
143.0	0.20	0.01
144.0	0.20	0.01
145.0	0.20	0.01
146.0	0.20	0.01
147.0	0.20	0.01
148.0	0.21	0.00
149.0	0.21	0.01
150.0	0.21	0.00
