Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_9,4,0,0,0,0,0,6,0,6,0.424,9,9,41.254,6.185,0,0.071,0.093,0.059,0.062,0.019,6.931,7.673,6.078,7.062,0.569
Track_16,5,0,0,0,0,0,8,0,8,0.529,16,16,38.926,16.313,0,0.068,0.074,0.053,0.073,0.010,8.137,9.004,7.438,8.104,0.567
Track_29,5,0,0,0,0,0,8,0,8,0.411,29,29,53.903,45.481,0,0.068,0.161,0.015,0.063,0.065,8.232,10.528,6.311,8.031,1.685
Track_43,7,0,0,0,0,0,12,0,12,0.983,43,43,40.238,44.187,0,0.093,0.225,0.024,0.068,0.076,11.919,16.099,8.343,11.603,2.965
Track_48,6,0,0,0,0,0,10,0,10,0.548,48,48,47.755,45.564,0,0.063,0.195,0.017,0.028,0.075,11.006,12.633,9.340,11.229,1.055
Track_51,10,0,0,0,0,0,18,0,18,1.386,51,51,2.393,31.862,0,0.079,0.130,0.051,0.074,0.024,16.032,18.075,10.625,16.538,2.040
Track_52,10,0,0,0,0,0,18,0,18,0.653,52,52,33.735,4.380,0,0.067,0.227,5.649E-4,0.022,0.089,9.923,14.124,6.059,11.148,2.553
Track_55,9,0,0,0,0,0,16,0,16,0.927,55,55,17.764,15.454,0,0.075,0.200,0.018,0.045,0.064,9.841,11.721,6.394,10.276,1.622
Track_57,7,0,0,0,0,0,12,0,12,0.525,57,57,12.259,43.657,0,0.083,0.246,0.016,0.064,0.087,10.119,11.689,8.436,10.245,1.118
Track_59,6,0,0,0,0,0,10,0,10,0.515,59,59,50.833,43.877,0,0.078,0.238,0.026,0.043,0.090,9.832,12.584,6.055,11.606,2.450
Track_60,8,0,0,0,0,0,14,0,14,0.978,60,60,31.572,16.085,0,0.081,0.140,0.041,0.074,0.035,10.036,12.615,7.931,9.844,1.607
Track_64,8,0,0,0,0,0,14,0,14,0.697,64,64,12.499,50.617,0,0.059,0.176,0.008,0.037,0.058,6.768,9.237,4.643,6.662,1.408
Track_65,5,0,0,0,0,0,8,0,8,0.678,65,65,20.152,50.507,0,0.103,0.233,0.038,0.083,0.089,8.876,11.134,5.271,9.652,2.249
Track_67,5,0,0,0,0,0,8,0,8,0.550,67,67,11.462,36.429,0,0.089,0.205,0.037,0.071,0.079,7.197,7.771,6.304,7.321,0.520
Track_68,8,0,0,0,0,0,14,0,14,1.329,68,68,35.296,36.058,0,0.133,0.214,0.067,0.141,0.055,7.048,8.292,6.002,7.384,0.728
Track_73,7,0,0,0,0,0,12,0,12,0.555,73,73,25.902,36.691,0,0.050,0.089,0.036,0.046,0.020,13.565,16.583,7.906,13.952,2.902
Track_77,9,0,0,0,0,0,16,0,16,1.084,77,77,13.269,27.891,0,0.083,0.243,0.026,0.070,0.072,13.538,17.711,10.532,12.645,2.457
Track_79,4,0,0,0,0,0,6,0,6,0.483,79,79,2.460,50.737,0,0.086,0.106,0.068,0.084,0.019,6.797,7.046,6.575,6.812,0.168
Track_80,8,0,0,0,0,0,14,0,14,0.575,80,80,43.909,19.192,0,0.062,0.162,0.028,0.041,0.048,12.267,17.967,8.160,11.494,3.522
Track_85,5,0,0,0,0,0,8,0,8,0.755,85,85,22.107,7.499,0,0.107,0.159,0.053,0.127,0.046,7.460,9.408,6.004,7.184,1.376
Track_87,6,0,0,0,0,0,10,0,10,0.749,87,87,41.465,48.692,0,0.077,0.127,0.016,0.065,0.045,8.713,11.656,6.385,9.523,2.038
Track_88,6,0,0,0,0,0,10,0,10,0.730,88,88,49.893,34.926,0,0.075,0.130,0.024,0.056,0.048,7.169,8.959,5.371,6.865,1.323
Track_91,7,0,0,0,0,0,12,0,12,0.935,91,91,27.243,48.688,0,0.090,0.116,0.061,0.092,0.023,10.565,11.885,7.898,11.146,1.318
Track_103,4,0,0,0,0,0,6,0,6,0.423,103,103,9.937,50.026,0,0.082,0.116,0.040,0.091,0.039,4.313,5.532,2.602,5.433,1.231
Track_106,6,0,0,0,0,0,10,0,10,0.544,106,106,2.147,35.080,0,0.057,0.097,0.025,0.043,0.034,8.591,9.737,7.520,8.747,0.833
Track_107,5,0,0,0,0,0,8,0,8,0.570,107,107,9.614,34.645,0,0.072,0.137,0.030,0.086,0.051,5.581,8.730,3.657,4.946,1.974
Track_109,8,0,0,0,0,0,14,0,14,0.507,109,109,22.919,48.589,0,0.052,0.130,0.012,0.044,0.038,10.624,13.426,6.991,10.380,1.976
Track_119,6,0,0,0,0,0,10,0,10,0.501,119,119,47.626,17.903,0,0.061,0.118,0.027,0.056,0.037,8.233,9.670,5.427,8.973,1.472
Track_120,5,0,0,0,0,0,8,0,8,0.475,120,120,18.507,35.086,0,0.060,0.130,0.029,0.046,0.047,9.765,12.293,6.982,10.124,2.101
Track_122,9,0,0,0,0,0,16,0,16,0.884,122,122,31.877,48.392,0,0.079,0.149,0.023,0.082,0.052,12.444,14.656,9.101,13.057,1.610
Track_127,6,0,0,0,0,0,10,0,10,0.588,127,127,22.280,25.838,0,0.059,0.071,0.046,0.056,0.010,9.029,10.491,7.308,9.490,1.174
Track_128,4,0,0,0,0,0,6,0,6,0.594,128,128,45.714,6.674,0,0.101,0.165,0.042,0.096,0.062,10.214,13.733,7.742,11.331,2.471
Track_130,4,0,0,0,0,0,6,0,6,0.539,130,130,24.907,47.412,0,0.090,0.106,0.067,0.098,0.021,6.524,8.472,5.111,6.900,1.300
Track_134,5,0,0,0,0,0,8,0,8,0.572,134,134,35.299,34.728,0,0.073,0.146,0.029,0.083,0.054,11.855,13.564,10.009,11.944,1.148
Track_136,4,0,0,0,0,0,6,0,6,0.577,136,136,28.937,17.425,0,0.100,0.121,0.061,0.119,0.034,13.225,13.879,12.547,13.584,0.531
Track_137,7,0,0,0,0,0,12,0,12,0.705,137,137,13.532,47.834,0,0.060,0.132,0.004,0.045,0.051,9.147,12.135,7.144,8.128,1.798
Track_141,7,0,0,0,0,0,12,0,12,1.002,141,141,41.836,21.233,0,0.096,0.221,0.022,0.084,0.069,11.965,14.533,7.369,13.393,2.584
Track_143,10,0,0,0,0,0,18,0,18,0.891,143,143,30.688,53.396,0,0.064,0.154,0.026,0.060,0.039,12.988,17.915,8.921,14.289,3.084
Track_146,7,0,0,0,0,0,12,0,12,0.959,146,146,40.455,53.470,0,0.091,0.154,0.027,0.109,0.048,11.574,13.969,8.888,11.351,1.833
Track_149,4,0,0,0,0,0,6,0,6,0.482,149,149,47.668,53.392,0,0.105,0.127,0.083,0.105,0.022,6.676,7.527,5.746,7.116,0.691
Track_150,11,0,0,0,0,0,20,0,20,0.938,150,150,18.376,41.028,0,0.054,0.183,0.019,0.035,0.049,10.619,14.072,6.552,11.316,2.539
Track_151,7,0,0,0,0,0,12,0,12,0.868,151,151,54.214,41.046,0,0.078,0.116,0.044,0.082,0.024,9.476,12.475,6.722,9.625,2.005
Track_154,8,0,0,0,0,0,14,0,14,0.657,154,154,41.406,53.180,0,0.052,0.080,0.014,0.056,0.021,10.759,14.712,4.280,12.515,3.392
Track_158,10,0,0,0,0,0,18,0,18,1.418,158,158,10.226,53.293,0,0.087,0.194,0.020,0.072,0.059,6.942,9.952,4.960,6.528,1.570
Track_169,5,0,0,0,0,0,8,0,8,0.408,169,169,3.743,40.000,0,0.052,0.063,0.026,0.062,0.018,11.209,12.849,8.399,11.579,1.599
Track_171,11,0,0,0,0,0,20,0,20,0.713,171,171,24.148,40.597,0,0.046,0.091,0.002,0.053,0.027,12.545,18.977,6.869,11.573,3.427
Track_175,5,0,0,0,0,0,8,0,8,0.848,175,175,47.533,20.445,0,0.109,0.195,0.070,0.099,0.059,10.040,10.986,7.869,10.813,1.178
Track_176,17,0,0,0,0,0,32,0,32,1.140,176,176,42.617,39.082,0,0.051,0.107,0.029,0.043,0.025,16.175,23.011,8.661,16.532,4.130
Track_185,6,0,0,0,0,0,10,0,10,0.437,185,185,24.080,51.634,0,0.079,0.124,0.024,0.076,0.044,9.550,11.197,6.833,10.771,1.733
Track_188,4,0,0,0,0,0,6,0,6,0.526,188,188,3.745,0.207,0,0.105,0.153,0.054,0.109,0.050,7.256,8.211,6.252,7.452,0.703
Track_193,4,0,0,0,0,0,6,0,6,0.450,193,193,49.163,37.645,0,0.077,0.106,0.048,0.077,0.029,8.955,10.037,8.184,8.984,0.686
Track_196,6,0,0,0,0,0,10,0,10,0.709,196,196,32.550,50.546,0,0.086,0.184,0.030,0.080,0.063,9.521,12.291,7.932,9.726,1.685
Track_198,8,0,0,0,0,0,14,0,14,0.552,198,198,35.145,37.518,0,0.072,0.102,0.035,0.073,0.024,9.445,11.570,5.997,10.924,2.022
Track_202,5,0,0,0,0,0,8,0,8,0.659,202,202,6.255,9.751,0,0.087,0.133,0.067,0.080,0.031,8.341,9.864,5.990,8.991,1.343
Track_209,8,0,0,0,0,0,14,0,14,0.701,209,209,53.726,38.401,0,0.050,0.061,0.037,0.053,0.009,10.397,11.187,9.622,10.411,0.402
Track_227,6,0,0,0,0,0,10,0,10,0.500,227,227,15.193,14.680,0,0.057,0.068,0.033,0.068,0.016,7.915,8.764,6.542,8.287,0.806
Track_229,9,0,0,0,0,0,16,0,16,0.566,229,229,34.347,54.458,0,0.063,0.178,0.022,0.039,0.052,12.934,15.956,9.395,12.851,1.900
Track_235,8,0,0,0,0,0,14,0,14,1.041,235,235,36.112,54.428,0,0.082,0.155,0.033,0.080,0.040,8.944,12.733,5.662,9.931,2.459
Track_236,6,0,0,0,0,0,10,0,10,0.532,236,236,19.455,12.909,0,0.054,0.091,0.025,0.059,0.025,9.612,11.486,6.495,10.615,1.738
Track_246,9,0,0,0,0,0,16,0,16,0.811,246,246,33.404,42.947,0,0.058,0.082,0.020,0.065,0.022,10.999,15.100,8.642,10.767,2.278
Track_250,4,0,0,0,0,0,6,0,6,0.455,250,250,45.379,41.607,0,0.107,0.144,0.063,0.114,0.041,7.027,9.537,5.795,6.973,1.526
Track_253,6,0,0,0,0,0,10,0,10,0.785,253,253,40.119,2.401,0,0.081,0.102,0.052,0.092,0.021,12.752,13.394,11.677,12.902,0.529
Track_260,5,0,0,0,0,0,8,0,8,0.463,260,260,2.721,54.279,0,0.062,0.078,0.049,0.068,0.013,6.586,7.591,5.796,6.445,0.594
Track_263,14,0,0,0,0,0,26,0,26,1.524,263,263,13.310,41.541,0,0.075,0.242,0.024,0.053,0.062,13.026,17.327,7.428,13.646,3.008
Track_264,5,0,0,0,0,0,8,0,8,0.629,264,264,54.493,12.195,0,0.090,0.139,0.055,0.088,0.035,7.298,8.455,5.968,7.306,0.842
Track_266,4,0,0,0,0,0,6,0,6,0.551,266,266,9.566,30.604,0,0.092,0.138,0.050,0.089,0.044,11.098,13.063,8.669,12.817,1.890
Track_270,5,0,0,0,0,0,8,0,8,0.790,270,270,41.063,12.094,0,0.101,0.205,0.061,0.070,0.069,10.930,13.266,7.765,11.457,1.897
Track_271,5,0,0,0,0,0,8,0,8,0.612,271,271,10.459,2.093,0,0.087,0.139,0.047,0.111,0.045,6.090,7.803,4.723,5.719,1.111
Track_275,4,0,0,0,0,0,6,0,6,0.415,275,275,21.269,53.520,0,0.077,0.113,0.024,0.093,0.046,7.729,8.580,6.480,8.345,0.823
Track_280,4,0,0,0,0,0,6,0,6,0.541,280,280,28.267,53.859,0,0.092,0.099,0.085,0.092,0.007,8.011,8.570,7.057,8.266,0.572
