time	msd_mean	msd_std
0	0	1.013241894
1	2.62495007	1.013241894
2	9.553639006	3.289395615
3	20.9118779	7.095599539
4	36.55214466	12.37396064
5	56.67504591	18.79506145
6	81.21514144	26.75755694
7	109.4172371	36.57257626
8	142.2223506	48.48076864
9	179.4277809	61.55664516
10	220.8881667	76.29327793
11	267.1054285	92.99453679
12	316.3765255	112.4994617
13	369.4081468	135.0625916
14	425.5574352	162.0123176
15	483.9581763	195.3151434
16	544.1968367	232.9466571
17	605.6080276	279.4300077
18	666.3565321	331.0974147
19	725.6763931	384.8723883
20	813.1072702	432.3789088
21	899.1988553	473.9361846
22	1011.704612	498.5514849
23	1148.136287	502.0223057
24	1322.499764	460.4182578
25	1587.801387	155.8141772
26	1688.383879	153.4670003
27	1741.603675	32.26991306
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
